A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,resolution_max_b1_gaussian_conv,1,1.0,0.2950891418457031,0.909,0.5520675659179688,0.806
plain,resolution_max_b1_gaussian_conv,4,0.0,0.16457229614257812,0.963,0.7361421203613281,0.769
plain,resolution_max_b1_gaussian_conv,4,0.02,0.1738912887573242,0.96,0.7267044982910156,0.77
plain,resolution_max_b1_gaussian_conv,4,0.04,0.18999946594238282,0.948,0.7214318237304688,0.77
plain,resolution_max_b1_gaussian_conv,4,0.06,0.21376840209960937,0.944,0.71988525390625,0.768
plain,resolution_max_b1_gaussian_conv,4,0.08,0.2449366226196289,0.923,0.7227875671386719,0.766
plain,resolution_max_b1_gaussian_conv,4,0.1,0.28278671264648436,0.907,0.7323033447265626,0.767
plain,resolution_max_b1_gaussian_conv,4,0.12,0.32569476318359375,0.891,0.7481061706542969,0.756
plain,resolution_max_b1_gaussian_conv,4,0.14,0.37370561218261716,0.874,0.7700263671875,0.755
plain,resolution_max_b1_gaussian_conv,4,0.16,0.4265482177734375,0.853,0.7971595153808594,0.739
plain,resolution_max_b1_gaussian_conv,4,0.18,0.4832972412109375,0.83,0.8282130126953124,0.734
plain,resolution_max_b1_gaussian_conv,4,0.2,0.5428387756347657,0.818,0.8631975402832032,0.721
plain,resolution_max_b1_gaussian_conv,4,0.22,0.60424658203125,0.797,0.9006012573242187,0.707
plain,resolution_max_b1_gaussian_conv,4,0.24,0.6684381713867188,0.765,0.9399679565429687,0.694
plain,resolution_max_b1_gaussian_conv,4,0.26,0.7327596130371093,0.742,0.9801454467773437,0.673
plain,resolution_max_b1_gaussian_conv,4,0.28,0.7974633483886718,0.719,1.0196017456054687,0.657
plain,resolution_max_b1_gaussian_conv,4,0.3,0.8598240966796875,0.692,1.0601666259765625,0.639
plain,resolution_max_b1_gaussian_conv,4,0.32,0.9216044311523437,0.671,1.1007178955078125,0.622
