method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
plain,2,saved,train_probe,0.025,20,0.04259127273559571,0.01115149447797699,0.024814968109130864,0.07319640731811522
plain,2,saved,train_probe,0.05,20,0.1729559268951416,0.048274793821929535,0.09238342285156254,0.3025086669921875
plain,2,saved,train_probe,0.1,20,0.7534807876586914,0.2428721943355169,0.34674336242675774,1.3449803161621092
plain,2,saved,train_probe,0.2,20,3.401003213500977,1.0654080288164884,1.691554412841797,5.845805206298829
plain,2,saved,train_probe,0.25,20,5.277018142700195,1.5194930192395173,2.9993526916503903,8.752376373291016
plain,3,recalibrated,test_probe,0.025,20,0.007440425109863308,0.0023508329551654157,0.003569702148437548,0.012862976074218713
plain,3,recalibrated,test_probe,0.05,20,0.029475222015380876,0.007608392198689156,0.01688565063476566,0.048774566650390705
plain,3,recalibrated,test_probe,0.1,20,0.11346654739379884,0.023833080019072573,0.06793290710449229,0.16849696350097654
plain,3,recalibrated,test_probe,0.2,20,0.44857624282836916,0.07334360059749223,0.3363645629882812,0.6075676269531252
plain,3,recalibrated,test_probe,0.25,20,0.7036232070922851,0.10687577962006566,0.5478479003906249,0.9630874633789064
plain,3,recalibrated,train_probe,0.025,20,0.01367249774932861,0.0024867795883998576,0.010339046478271469,0.020415332794189445
plain,3,recalibrated,train_probe,0.05,20,0.051703713798522954,0.009105253241208464,0.039448070526123064,0.0785359191894531
plain,3,recalibrated,train_probe,0.1,20,0.18923549308776855,0.028688463792127923,0.1551487045288086,0.27638573455810544
plain,3,recalibrated,train_probe,0.2,20,0.6781453186035156,0.08011850013899521,0.5758480606079102,0.864647102355957
plain,3,recalibrated,train_probe,0.25,20,1.008414771270752,0.11276614285175209,0.8666644821166991,1.2706192398071288
plain,3,saved,test_probe,0.025,20,0.03561441116333012,0.01609698980625427,0.015192245483398481,0.0729590454101563
plain,3,saved,test_probe,0.05,20,0.14589284057617186,0.0646333193943858,0.06766712951660159,0.3017773895263671
plain,3,saved,test_probe,0.1,20,0.6235915771484375,0.27047689995581886,0.3163011169433594,1.4118343811035157
plain,3,saved,test_probe,0.2,20,2.9248531082153315,1.2024508970846297,1.454520324707031,6.823865081787108
plain,3,saved,test_probe,0.25,20,4.70780966796875,1.944761134392434,2.3563063049316404,10.665872894287109
plain,3,saved,train_probe,0.025,20,0.03902458496093749,0.01355475785041832,0.02144078445434569,0.07368946456909181
plain,3,saved,train_probe,0.05,20,0.16401084060668944,0.05966757329248559,0.08762892150878904,0.31820399475097655
plain,3,saved,train_probe,0.1,20,0.7263895709991456,0.27912807935799017,0.3988526077270507,1.5364548950195311
plain,3,saved,train_probe,0.2,20,3.268336853027344,1.2257964725063248,1.7477013549804687,7.245148193359376
plain,3,saved,train_probe,0.25,20,5.121758851623536,1.9610494993199792,2.7300299987792966,11.178462646484375
plain,4,recalibrated,test_probe,0.025,20,0.00547589797973636,0.002295142885319576,0.002384628295898472,0.010873748779296921
