campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_noaug_160,cbs_published_schedule,1,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.08862938119652507}",scheduled state of the last update of epoch 119,0.08862938119652507,0.99998,0.00017865711727179588,0.8299,1.258566357421875,P1
adamw_long_noaug_160,cbs_published_schedule,1,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",native inference state (endpoint P1 reused),0.038152042447694615,0.99998,4.083263470092788e-05,0.8349,1.3006823303222657,P1
adamw_long_noaug_160,cbs_published_schedule,2,40,15640,"{""label"": ""update 15639"", ""resolution"": null, ""sigma"": 0.4782969000000001}",scheduled state of the last update of epoch 39,0.4782969000000001,0.97114,0.08469678638458251,0.8137,0.7582877258300781,P1
adamw_long_noaug_160,cbs_published_schedule,2,80,31280,"{""label"": ""update 31279"", ""resolution"": null, ""sigma"": 0.20589113209464907}",scheduled state of the last update of epoch 79,0.20589113209464907,0.99952,0.002664879136681557,0.8282,1.0488282623291016,P1
adamw_long_noaug_160,cbs_published_schedule,2,120,46920,"{""label"": ""update 46919"", ""resolution"": null, ""sigma"": 0.08862938119652507}",scheduled state of the last update of epoch 119,0.08862938119652507,1.0,8.411550655961037e-05,0.8309,1.2597692687988282,P1
adamw_long_noaug_160,cbs_published_schedule,2,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",native inference state (endpoint P1 reused),0.038152042447694615,1.0,6.677333284169436e-06,0.8369,1.2788813903808594,P1
adamw_long_noaug_160,gaussian_postrelu,0,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.7,0.9529,0.13275570678710938,0.8262,0.6450406585693359,P1
adamw_long_noaug_160,gaussian_postrelu,0,80,31280,"{""label"": ""epoch 79"", ""resolution"": null, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.99446,0.016765735840797425,0.8386,0.9336466522216796,P1
adamw_long_noaug_160,gaussian_postrelu,0,120,46920,"{""label"": ""epoch 119"", ""resolution"": null, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.99998,0.00040193102173507214,0.8437,1.1052021087646484,P1
adamw_long_noaug_160,gaussian_postrelu,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.99998,0.00014237449906300754,0.8481,1.153188949584961,P1
adamw_long_noaug_160,gaussian_postrelu,1,40,15640,"{""label"": ""epoch 39"", ""resolution"": null, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.7,0.95916,0.11721324394226074,0.822,0.6406228881835937,P1
